// Aluminum Purge
new entry "Aluminum_Purge"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "RemoveStatus(SG_Cursed);UseActionResource(MetalReserves,30)"
data "TargetConditions" "Self()"
data "Icon" "Spell_Enhancement_Aluminum_Purge"
data "DisplayName" "h9ca5aa65ef7c4f3d8f44e8fe97ebaff1f70e;2"
data "Description" "h5cf2738ad89e419da1b664800dc65bd95bca;8"
data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "PrepareSound" "Spell_Prepare_Debuff_Gen_L1to3_01"
data "PrepareLoopSound" "Spell_Prepare_Debuff_Gen_L1to3_01_Loop"
data "CastSound" "Spell_Cast_Debuff_Bane_L1to3"
data "TargetSound" "Spell_Impact_Debuff_Bane_L1to3"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "414bbf02-2918-4f01-83fb-1ddc7a588d88,,;,,;e37d18b8-0de7-4bbc-a644-31ec2a91e548,,;acfe8d41-20c1-4fe8-b158-f4b2be86e080,,;0c5dcc83-fa78-41da-b6a5-440b5ea30936,,;,,;bea988a0-2ec5-40d8-a67e-ffbd7454bc53,,;bcc3b0d9-f04f-4448-aab0-e0ad641167cc,,;bf924cc6-8b39-4c3b-b1c0-eda264cf6150,,"
data "VerbalIntent" "Debuff"
data "SpellFlags" "IsMelee"
data "HitAnimationType" "MagicalNonDamage"
data "PrepareEffect" "7121a488-d9f8-4ef3-b398-568510966ebf"
data "CastEffect" "de404880-3c51-42ed-9938-51054ef009be"
data "TargetEffect" "014fe3ec-11ec-40b5-a4bc-36f544f7b479"
